,Unnamed: 0,scenario,mmsi,ship_type,width,length,draught,nav_status,timestamp,lat,lon,sog,cog,timestamp_obj,ts_mmsi,R_x,R_y,theta,V_x,V_y,f_min,DDV,TDV,V_TDV,V_chg,cog_TDV,cog_chg,theta_rad,distance,ts_dot,DDV_dot,cog_dot,sog_dot,distance_dot
66,66,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977260.0,56.15604,11.096838,11.5,1.4999999999998863,2020-01-02 16:01:00,232003642,1.0932687408022614,-0.3138182315935056,176.9000000000001,-37.30831838169908,-0.1672450510413243,0.5024189793219352,0.4975810206780647,0.0248810057833719,11.554889188222225,0.0047729728888889,2.939970263777675,1.4399702637777887,3.0874874467779705,1.1374174352874311,60.0,0.0016814123296132466,-0.06666666666666295,0.0,-0.05207966740085886
72,72,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977320.0,56.15928266666667,11.097059,11.5,2.766666666666538,2020-01-02 16:02:00,232003642,0.7683991690021922,-0.3201687378643747,-178.6030303030301,-37.22100544311181,-2.1631683272260998,0.5811936080557041,0.4188063919442959,0.0155166855492023,11.6,0.008695652173913,3.0482107818180952,0.2815441151515574,-3.117210932827081,0.8324333628759278,60.0,-0.013129104788961463,0.21111111111110858,0.0,-0.050830678735250545
78,78,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977380.0,56.162477,11.097347333333332,11.6,2.966666666666584,2020-01-02 16:03:00,232003642,0.4465952308286744,-0.3356879292969922,178.55151515151522,-37.67504148600469,-1.5687061519796337,0.5555950537202905,0.4444049462797095,0.0065061057968078,11.6,0.0,2.560531885999908,-0.4061347806666759,3.1163118238184824,0.5586892571677206,60.0,0.00426642572256893,0.03333333333334106,0.016666666666666607,-0.04562401761803455
95,95,16edbf14f3,248660000,Cargo,33.0,195.0,8.9,0,1577859240.0,56.04966442857143,11.091820571428572,13.9,207.47142857142856,2020-01-01 07:14:00,636014191,-6.276657793150461,-3.343294282922934,-172.39365079365064,43.38038145366353,26.0929028220604,0.8957990136064398,0.1042009863935602,0.134675108057838,13.7,-0.0143884892086331,207.36988220030304,-0.1015463711255222,-3.0088368158825394,7.111543412968917,120.0,-0.014764182541390836,0.12976190476190416,0.004761904761904745,-0.07231019678310331
102,102,16edbf14f3,248660000,Cargo,33.0,195.0,8.9,0,1577859360.0,56.04285185714286,11.085418428571428,13.8,207.95714285714288,2020-01-01 07:16:00,636014191,-5.534810682449409,-2.885100482862533,-172.93492063492045,43.433738530958415,26.408835104866142,0.98243762487801,0.0175623751219901,0.1163556998111934,13.608955848,-0.0138437791304349,206.97707203636364,-0.9800708207792468,-3.0182837567544443,6.241629121212644,120.0,-0.007219884272630841,0.04047619047619359,-0.008333333333333304,-0.07249285764635609
108,108,16edbf14f3,248660000,Cargo,33.0,195.0,8.9,0,1577859420.0,56.039441,11.08221425,13.9,207.475,2020-01-01 07:17:00,636014191,-5.159654234561492,-2.658759663734487,-172.08611111111094,43.74551069558144,26.512278854249985,0.970381202948268,0.029618797051732,0.1071883585856473,13.6,-0.0215827338129496,207.5934821509091,0.1184821509091023,-3.0034692358416835,5.8043978817556825,60.0,0.002009403654956983,-0.08035714285714828,0.016666666666666607,-0.07287187324282692
122,122,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859180.0,55.942426000000005,10.989221888888888,12.1,36.25555555555572,2020-01-01 07:13:00,248660000,6.6555441259228045,3.5589196092261237,170.87301587301567,-43.01355571040459,-26.23030903852307,0.3216404681753185,0.6783595318246814,0.143012214094301,12.2,0.0082644628099173,37.197557903000174,0.9420023474444504,2.9822967297966563,7.5473290902835135,60.0,-0.01576094734635573,0.11425925925925877,0.004999999999999893,-0.07198944733577317
128,128,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859240.0,55.94522188888889,10.99272188888889,12.2,35.077777777777946,2020-01-01 07:14:00,248660000,6.281445153539544,3.3342910036474254,172.39365079365064,-43.38038145366353,-26.0929028220604,0.2908682203028112,0.7091317796971888,0.1343720265564798,12.287478592,0.0071703763934426,37.50487155200017,2.4270937742222216,3.0088368158825394,7.111543412925887,60.0,0.0051287079787512195,-0.1962962962962962,0.016666666666666607,-0.07263094622627102
134,134,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859300.0,55.94805588888889,10.996221888888888,12.3,36.0222222222224,2020-01-01 07:15:00,248660000,5.905625574586465,3.1090978238072084,171.40634920634898,-43.2210469625326,-26.45616122652867,0.3262656854998901,0.6737343145001098,0.1248112173741582,12.3,0.0,37.92734331536381,1.9051210931414035,2.991605152473959,6.674046951079416,60.0,-0.0058995775328464966,0.15740740740740952,0.016666666666666902,-0.07291607697441194
140,140,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859360.0,55.950759000000005,10.999888888888888,12.4,35.0222222222224,2020-01-01 07:16:00,248660000,5.538376807337642,2.878248847197546,172.93492063492045,-43.433738530958415,-26.408835104866142,0.3202892260070064,0.6797107739929936,0.1160369497595376,12.3,-0.0080645161290322,37.86720377200017,2.8449815497777635,3.0182837567544443,6.241629121186991,60.0,0.0009960765821473057,-0.16666666666666666,0.016666666666666607,-0.07206963831540418
